[2018-05-25 22:51:24,062][dataoptions][11856][INFO][compress():142]## 比较Linux和Web
[2018-05-25 22:51:24,062][dataoptions][11856][INFO][cityOfJob():104]## 统计Linux的城市分布信息
[2018-05-25 22:51:24,062][dataoptions][11856][INFO][cityOfJob():104]## 统计Web的城市分布信息
[2018-05-25 22:51:24,406][draw][11856][INFO][reDraw():279]## 重绘
[2018-05-25 22:51:24,406][draw][11856][INFO][allJobs_pie():264]## 绘制职位信息概总饼图
[2018-05-25 22:51:24,406][dataoptions][11856][INFO][getAllJobNum():108]## 统计所有职位量
[2018-05-25 22:51:24,531][draw][11856][INFO][allCity_pie():249]## 绘制城市职位概总饼图
[2018-05-25 22:51:24,531][dataoptions][11856][INFO][getJobInCity():95]## 统计所有职位分布
[2018-05-25 22:52:32,051][draw][11856][INFO][compare():133]## 比较Linux和Web
[2018-05-25 22:52:32,051][dataoptions][11856][INFO][compress():142]## 比较Linux和Web
[2018-05-25 22:52:32,051][dataoptions][11856][INFO][cityOfJob():104]## 统计Linux的城市分布信息
[2018-05-25 22:52:32,051][dataoptions][11856][INFO][cityOfJob():104]## 统计Web的城市分布信息
[2018-05-25 22:52:38,942][draw][11856][INFO][compare():133]## 比较Linux和C/C++
[2018-05-25 22:52:38,942][dataoptions][11856][INFO][compress():142]## 比较Linux和C/C++
[2018-05-25 22:52:38,942][dataoptions][11856][INFO][cityOfJob():104]## 统计Linux的城市分布信息
[2018-05-25 22:52:38,942][dataoptions][11856][INFO][cityOfJob():104]## 统计C/C++的城市分布信息
[2018-05-25 22:52:42,114][draw][11856][INFO][compare():133]## 比较Linux和Python
[2018-05-25 22:52:42,114][dataoptions][11856][INFO][compress():142]## 比较Linux和Python
[2018-05-25 22:52:42,114][dataoptions][11856][INFO][cityOfJob():104]## 统计Linux的城市分布信息
[2018-05-25 22:52:42,114][dataoptions][11856][INFO][cityOfJob():104]## 统计Python的城市分布信息
[2018-05-25 22:52:44,551][draw][11856][INFO][compare():133]## 比较Linux和C#
[2018-05-25 22:52:44,551][dataoptions][11856][INFO][compress():142]## 比较Linux和C#
[2018-05-25 22:52:44,551][dataoptions][11856][INFO][cityOfJob():104]## 统计Linux的城市分布信息
[2018-05-25 22:52:44,551][dataoptions][11856][INFO][cityOfJob():104]## 统计C#的城市分布信息
[2018-05-25 22:52:46,942][draw][11856][INFO][compare():133]## 比较Linux和Linux
[2018-05-25 22:52:46,942][dataoptions][11856][INFO][compress():142]## 比较Linux和Linux
[2018-05-25 22:52:46,942][dataoptions][11856][INFO][cityOfJob():104]## 统计Linux的城市分布信息
[2018-05-25 22:52:46,958][dataoptions][11856][INFO][cityOfJob():104]## 统计Linux的城市分布信息
[2018-05-25 22:52:48,739][draw][11856][INFO][compare():133]## 比较Linux和大数据
[2018-05-25 22:52:48,739][dataoptions][11856][INFO][compress():142]## 比较Linux和大数据
